,author,developer_reply,review,review_date,reviewer_ratings,star
162,당고,, 편리함 상품이다양함,2020년 12월 18일,0,별표 5개 만점에 4개를 받았습니다.
163,꼼지락 맘,, 사용하기 편리하네요,2021년 2월 3일,0,별표 5개 만점에 5개를 받았습니다.
164,송한빈,, 신속하고 빠른 편리한 앱입니다^^,2020년 11월 5일,3,별표 5개 만점에 5개를 받았습니다.
165,조규수,, 편리하게 사용하고있어요,2021년 2월 23일,0,별표 5개 만점에 5개를 받았습니다.
166,조규남,, 좋은상품 감사합니다~^^,2020년 12월 14일,0,별표 5개 만점에 5개를 받았습니다.
167,이선애,, 편하게 잘 사용하고 있어요,2021년 1월 21일,0,별표 5개 만점에 5개를 받았습니다.
168,Kool.K,, (요최근 접속 속도가 너무 느려짐) 접속 자체가 안될 때도 있음. 왜이래요?? 사용자가 많아져서 그러면 서버 때문?? 초기 접속하는데 2~3분 걸림 ㅡㅡ 별5개에서 3개로 수정 ㅡㅡ,2021년 1월 10일,0,별표 5개 만점에 3개를 받았습니다.
169,신나는꽁이,, 예금이자도 높고 앱도 편리해요,2020년 11월 10일,0,별표 5개 만점에 5개를 받았습니다.
170,김선화,, 쉽고 빠르게 사용하고 있습니다.,2020년 10월 29일,2,별표 5개 만점에 5개를 받았습니다.
171,김용구,, 매우 편리하고 유익합니다.,2020년 10월 13일,2,별표 5개 만점에 5개를 받았습니다.
172,Yeriel Song,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2020년 10월 8일</span></div>안녕하세요 웰뱅입니다. 해당 의견 관련부서에 전달할 수 있도록 하겠습니다. 감사합니다.</div>", 디저털 otp 사용됐으면 좋겠습니다.,2020년 10월 6일,5,별표 5개 만점에 4개를 받았습니다.
173,chang hyun park,, 웰뱅톱랭킹에서 타자를 선택하면 명단이 나오지 않습니다. 오늘 현재(2020.11.04) .입니다. 개발자분들은 알고 계시려나..,2020년 11월 4일,2,별표 5개 만점에 3개를 받았습니다.
174,김지현,, 보기편리하고이율도좋아요,2020년 10월 13일,3,별표 5개 만점에 5개를 받았습니다.
175,정수달님,, 적금 이율이 좋아용,2021년 1월 18일,0,별표 5개 만점에 5개를 받았습니다.
176,윤YTG-G6,," 간편, 편리, 고금리!!!",2020년 12월 15일,0,별표 5개 만점에 5개를 받았습니다.
177,이재윤,, 아주편리함 사용자환경좋음,2020년 10월 22일,3,별표 5개 만점에 5개를 받았습니다.
178,성둥이,, 금리높고 편해요,2020년 12월 21일,0,별표 5개 만점에 5개를 받았습니다.
179,은재연재TV,, 편리하고 이율 좋아요,2020년 12월 7일,0,별표 5개 만점에 5개를 받았습니다.
180,Bohwa Back,, 적금 가입하기도 편하고 좋아요~^^ 적금 두개나 가입했네요.,2020년 10월 21일,1,별표 5개 만점에 4개를 받았습니다.
181,조영석,, 좋아요좋아요좋아요 발전하세요!!!,2021년 1월 23일,0,별표 5개 만점에 5개를 받았습니다.
182,Hangyul Jeon,, 좋아요 매끄러워요 보안 잘 부탁드려요,2020년 12월 2일,0,별표 5개 만점에 5개를 받았습니다.
183,이홍희,, 좋네요 편리하고,2021년 2월 16일,0,별표 5개 만점에 5개를 받았습니다.
184,김혁일,, 신용정보를 볼수있어서 좋습니다,2020년 11월 7일,0,별표 5개 만점에 5개를 받았습니다.
185,김지연,, 보기 쉬운 메뉴설정으로 사용하기 편하고 속도도 느리지 않아서 잘 사용하고 있습니다.,2021년 2월 3일,0,별표 5개 만점에 5개를 받았습니다.
186,이상이,," 아이 태어나서부터 지금 9살되었으니 꾸준히 웰뱅중입니다.크게 변화했다기보단 서서히~ 유저가 사용하기 편한 방식으로 진화했고, 지금도 꾸준히 성장하고 있는 웰뱅이라 불편함없이 아주 잘 쓰고 있고요. 예.적금 만기관리도 직접 창구찾지않아도 되어 매우 편합니다. 앞으로도 높은 이율~ 안정적인 상품 기대할께요^^",2020년 9월 25일,2,별표 5개 만점에 4개를 받았습니다.
187,YounSeok Lee,, 빠르고 편합니다,2020년 10월 23일,0,별표 5개 만점에 5개를 받았습니다.
188,이상엽,, 사용하기 편한것 같습니다,2021년 2월 1일,0,별표 5개 만점에 5개를 받았습니다.
189,장영호,, 예금상품 이자가 높아서 좋아요.,2020년 10월 28일,1,별표 5개 만점에 5개를 받았습니다.
190,KIME태어난김에,," 처음 깔고 계좌 만드는 것은 잘 되는데, 패턴 로그인 하려하니 계속 네트워크 오류로 꺼집니다. 삭제 후 새로 깔고 휴대폰인증해도 그러네요. 어떻게 해야하나요?",2020년 9월 16일,0,별표 5개 만점에 1개를 받았습니다.
191,vi a,, 잘 되다가 핸드폰 초기화 후에 안되네요. 기기등록중 오류가발생했습니다. 앱을 다시 실행해주시기바랍니다. 라고 재설치 반복해도 뜨네여,2020년 9월 9일,3,별표 5개 만점에 1개를 받았습니다.
192,Genie lovesjunie,, 금리도높고 잘 사용하고있는데요 보안정책장 화면캡처가 되지않은데 다른은행어플은 다 되는데 웰뱅은 안되서 불편해요 그런데 다른분은 캡쳐가되더라구요 왜그럴까요?,2020년 9월 20일,2,별표 5개 만점에 5개를 받았습니다.
193,Lime87 NY,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">웰컴 저축은행</span><span class=""p2TkOb"">2020년 8월 24일</span></div>안녕하세요 고객님, 웰뱅입니다. 먼저 앱을 이용에 불편을 드린 점 정말 죄송합니다. 증명서 발급은 정확한 확인을 위해 당행 대표번호 1661-9400으로 연락주시면 친절하고 정확한 상담 도와드리겠습니다. 앞으로도 고객님께 안전한 뱅킹서비스와 더 많은 혜택을 드리도록 최선을 다하겠습니다. 감사합니다</div>"," 증명서 발행 안됨. 아니 무슨 이체증명서 발행도 안되는 거지? 적금 기간 끝나면, 이율이 사이다 어플보다 높다고 해도 안 쓸듯... 푸하하하하...답변 수준하고는...증명서발급은 정확한 확인을 위해 대표번호로 연락...?ㅋㅋㅋㅋ그럼 어플에서는 정확한 본인확인이 안되는 건가? 본인확인도 안되는데 이체는 왜 되게 해두셨어요?ㅋㅋㅋㅋㅋ무슨 말도 안되는 소리를ㅋㅋㅋㅋㅋ",2020년 9월 2일,49,별표 5개 만점에 1개를 받았습니다.
194,김대기,, 적금이자 타 은핸보다 높다 ui편리하다,2020년 9월 30일,3,별표 5개 만점에 5개를 받았습니다.
195,김서영,, 너무불편해서어느새3번째계좌해지를하네요주민등록사진을제출했는데왜이름이다르게입력되는지너무나찜찜한다른내용은같고이름만다르기를세번째문의하려니카톡을설치하라네요저는카톡을하지않는데카톡을하지않으면챗봇문의도못하고이렇게실질적으로필요로해서계좌를개설하고싶어도모바일이더딘사람은사용할수없다는현실세번째신규계좌를해지합니다,2020년 11월 30일,0,별표 5개 만점에 1개를 받았습니다.
196,loco moco,, 신분증촬영이안되잖아요ㅡㅡ앱좀제대로만드셈,2020년 12월 26일,0,별표 5개 만점에 1개를 받았습니다.
197,아인,, 은행업무보기힘든데 웰뱅으로 적금/예금 다 잘쓰고있어요~~ 만기도 자동해지가능하니 움직일필요없이 폰만있음 다되서 편합니당,2020년 9월 23일,0,별표 5개 만점에 5개를 받았습니다.
198,Choon Sam Kim,, 심플 깔끔 속도 인식 모두 만점. 저축은행에서 이 정도의 앱을 만들 줄은 몰랐음. 리뷰같은거 안 쓰는데 감동받아 씀. 다른 증권사 앱보다 나음.,2020년 9월 2일,0,별표 5개 만점에 5개를 받았습니다.
199,Rachel You,, 사용자 비밀번호 쓸데없이 까다롭네요,2020년 12월 8일,0,별표 5개 만점에 5개를 받았습니다.
